Ticker,Date/Time,Open,Low,High,Close
DMART.EQ-NSE,6/2/20,2309.1,2290.05,2389,2381.7
DMART.EQ-NSE,6/3/20,2390,2330,2450,2349.3
DMART.EQ-NSE,6/4/20,2362,2311.3,2434,2414.2
DMART.EQ-NSE,6/5/20,2438,2434.15,2524,2499
DMART.EQ-NSE,6/8/20,2520,2414.2,2527,2459.5
DMART.EQ-NSE,6/9/20,2461,2370,2468.8,2390.1
DMART.EQ-NSE,6/10/20,2400,2360,2429.95,2388.35
DMART.EQ-NSE,6/11/20,2390,2365,2422.8,2406.5
DMART.EQ-NSE,6/12/20,2312,2312,2438,2397.8
DMART.EQ-NSE,6/15/2020,2373,2337.05,2422,2365.3
DMART.EQ-NSE,6/16/2020,2399,2356.6,2434,2403.55
DMART.EQ-NSE,6/17/2020,2390,2325,2404,2340.4
DMART.EQ-NSE,6/18/2020,2331,2320.3,2365,2350.85
DMART.EQ-NSE,6/19/2020,2372.7,2310,2399,2363.15
DMART.EQ-NSE,6/22/2020,2366,2340,2399.4,2350.4
DMART.EQ-NSE,6/23/2020,2350.3,2340,2375,2359.9
DMART.EQ-NSE,6/24/2020,2397.8,2342,2424,2358.35
DMART.EQ-NSE,6/25/2020,2348,2298.1,2348.7,2305.55
DMART.EQ-NSE,6/26/2020,2329.7,2290,2337.85,2294.4
DMART.EQ-NSE,6/29/2020,2294.4,2274,2334.7,2290.95
DMART.EQ-NSE,6/30/2020,2314.7,2288,2332.5,2317.15
DMART.EQ-NSE,7/1/20,2325,2285,2327,2289.35
DMART.EQ-NSE,7/2/20,2302,2285,2325,2295.5
DMART.EQ-NSE,7/3/20,2305,2276.05,2309.95,2290.15
DMART.EQ-NSE,7/6/20,2296,2296,2355,2323
DMART.EQ-NSE,7/7/20,2313.1,2305,2381,2361.7
DMART.EQ-NSE,7/8/20,2385,2300.45,2385.3,2319.55
DMART.EQ-NSE,7/9/20,2329.7,2309,2364,2320.35
DMART.EQ-NSE,7/10/20,2328.7,2306.65,2342.05,2322.7
DMART.EQ-NSE,7/13/2020,2210.05,2180,2304.95,2233.95
DMART.EQ-NSE,7/14/2020,2215,2148,2220,2154.85
DMART.EQ-NSE,7/15/2020,2170,2135,2195,2146.35
DMART.EQ-NSE,7/16/2020,2145,1980,2149.7,2007.05
DMART.EQ-NSE,7/17/2020,2000,1955,2019.8,1989.75
DMART.EQ-NSE,7/20/2020,1979.9,1968,2039,2019
DMART.EQ-NSE,7/21/2020,2035,2021.05,2054.9,2040.8
DMART.EQ-NSE,7/22/2020,2055,2010,2120.6,2110
DMART.EQ-NSE,7/23/2020,2107.7,2095,2148,2100.35
DMART.EQ-NSE,7/24/2020,2095,2027,2124.8,2031.4
DMART.EQ-NSE,7/27/2020,2044,2001.5,2060,2026.1
DMART.EQ-NSE,7/28/2020,2060,2027.8,2067,2051.4
DMART.EQ-NSE,7/29/2020,2060,2041.1,2075,2049.7
DMART.EQ-NSE,7/30/2020,2039,2030,2068,2040.2
DMART.EQ-NSE,7/31/2020,2046,2033.05,2075,2063.45
DMART.EQ-NSE,8/3/20,2068.7,2060.3,2112.7,2093.15
DMART.EQ-NSE,8/4/20,2093.15,2090,2178,2165.1
DMART.EQ-NSE,8/5/20,2175,2151.05,2189.95,2163.45
DMART.EQ-NSE,8/6/20,2170,2135.65,2191.95,2150.55
DMART.EQ-NSE,8/7/20,2170,2133,2176.4,2138.4
DMART.EQ-NSE,8/10/20,2138.4,2100,2145,2116.5
DMART.EQ-NSE,8/11/20,2120,2110.35,2143.15,2131.95
DMART.EQ-NSE,8/12/20,2139,2122,2175,2169.2
DMART.EQ-NSE,8/13/2020,2177,2150,2213.45,2207.1
DMART.EQ-NSE,8/14/2020,2214.3,2173.55,2219.9,2178
DMART.EQ-NSE,8/17/2020,2181,2160,2203.75,2189.75
DMART.EQ-NSE,8/18/2020,2195,2170,2266.3,2259.45
DMART.EQ-NSE,8/19/2020,2279,2240,2309.25,2266.6
DMART.EQ-NSE,8/20/2020,2252,2219,2290,2285.9
DMART.EQ-NSE,8/21/2020,2290.4,2252.35,2300,2259.45
DMART.EQ-NSE,8/24/2020,2269.95,2244,2272,2250.3
DMART.EQ-NSE,8/25/2020,2267.2,2260.1,2351.75,2341.15
DMART.EQ-NSE,8/26/2020,2343,2343,2425,2410.1
DMART.EQ-NSE,8/27/2020,2440,2351.25,2445,2380.85
DMART.EQ-NSE,8/28/2020,2376.75,2300,2376.9,2319.4
DMART.EQ-NSE,8/31/2020,2298.9,2195,2298.9,2251.25
DMART.EQ-NSE,9/1/20,2244,2202,2280,2241.6
DMART.EQ-NSE,9/2/20,2247.85,2212.05,2275,2218.45
DMART.EQ-NSE,9/3/20,2239,2229,2324.3,2278.4
DMART.EQ-NSE,9/4/20,2251.1,2183.3,2367.85,2251.45
DMART.EQ-NSE,9/7/20,2270,2240.15,2278.25,2261.4
DMART.EQ-NSE,9/8/20,2263.15,2235.05,2297.85,2246.6
DMART.EQ-NSE,9/9/20,2230,2207.6,2257.95,2222.7
DMART.EQ-NSE,9/10/20,2225,2215,2244.95,2237.75
DMART.EQ-NSE,9/11/20,2241.9,2226.05,2273,2239.35
DMART.EQ-NSE,9/14/2020,2250,2150.05,2258.95,2162.7
DMART.EQ-NSE,9/15/2020,2185,2130,2185,2136.15
DMART.EQ-NSE,9/16/2020,2152.55,2130.7,2173,2135.95
DMART.EQ-NSE,9/17/2020,2147,2133.1,2167,2139.05
DMART.EQ-NSE,9/18/2020,2149.9,2104,2175.95,2149.05
DMART.EQ-NSE,9/21/2020,2175,2056,2177,2097.45
DMART.EQ-NSE,9/22/2020,2099,1995.1,2104.85,2049.3
DMART.EQ-NSE,9/23/2020,2066.95,2047,2100,2055.3
DMART.EQ-NSE,9/24/2020,2047.9,2037.6,2084,2047.35
DMART.EQ-NSE,9/25/2020,2042.1,2042.1,2120,2102.7
DMART.EQ-NSE,9/28/2020,2110.9,2098,2142,2108.4
DMART.EQ-NSE,9/29/2020,2108.4,2082.9,2150.6,2133.25
DMART.EQ-NSE,9/30/2020,2134,2115,2219.8,2203.15
DMART.EQ-NSE,10/1/20,2210,2171.1,2242,2184.8
DMART.EQ-NSE,10/5/20,2192.95,2104,2197.15,2110.45
DMART.EQ-NSE,10/6/20,2135.75,2066,2135.75,2083.05
DMART.EQ-NSE,10/7/20,2092.95,2047,2108.7,2066.1
DMART.EQ-NSE,10/8/20,2085,2045.05,2090,2065.35
DMART.EQ-NSE,10/9/20,2068,2035.05,2090.9,2057.6
DMART.EQ-NSE,10/12/20,2072,1995.1,2084,2002.6
DMART.EQ-NSE,10/13/2020,2002.6,1965,2035.45,1977.45
DMART.EQ-NSE,10/14/2020,1984.9,1966.25,2014.85,1974.55
DMART.EQ-NSE,10/15/2020,1987.1,1970.05,1998.5,1977.7
